ID,num_of_leaves,model,non_binary_prob,planted,remove_extinct,rescale_to_height,dupl_rate,loss_rate,hgt_rate,prohibit_extinction,replace_prob
P0_0000,20,innovation,0.137670817004327,True,False,1,0.25,0.25,0.25,per_family,1
P0_0001,29,innovation,0.2755461442091,True,False,1,0.25,0.25,0.25,per_family,1
P0_0002,17,innovation,0.156811070852971,True,False,1,0.25,0.25,0.25,per_family,1
P0_0003,37,innovation,0.398423346500021,True,False,1,0.25,0.25,0.25,per_family,1
P0_0004,44,innovation,0.141168627474684,True,False,1,0.25,0.25,0.25,per_family,1
P0_0005,36,innovation,0.045862237391649,True,False,1,0.25,0.25,0.25,per_family,1
P0_0006,27,innovation,0.289828631827188,True,False,1,0.25,0.25,0.25,per_family,1
P0_0007,31,innovation,0.468505843786753,True,False,1,0.25,0.25,0.25,per_family,1
P0_0008,16,innovation,0.072754235733763,True,False,1,0.25,0.25,0.25,per_family,1
P0_0009,11,innovation,0.295941707683553,True,False,1,0.25,0.25,0.25,per_family,1
P0_0010,24,innovation,0.198441473202922,True,False,1,0.25,0.25,0.25,per_family,1
P0_0011,48,innovation,0.415357916983673,True,False,1,0.25,0.25,0.25,per_family,1
P0_0012,39,innovation,0.208987069456602,True,False,1,0.25,0.25,0.25,per_family,1
P0_0013,22,innovation,0.489112494527507,True,False,1,0.25,0.25,0.25,per_family,1
P0_0014,32,innovation,0.421154134145845,True,False,1,0.25,0.25,0.25,per_family,1
P0_0015,17,innovation,0.457414462558477,True,False,1,0.25,0.25,0.25,per_family,1
P0_0016,10,innovation,0.083298650178189,True,False,1,0.25,0.25,0.25,per_family,1
P0_0017,45,innovation,0.25735717270712,True,False,1,0.25,0.25,0.25,per_family,1
P0_0018,19,innovation,0.245144154178929,True,False,1,0.25,0.25,0.25,per_family,1
P0_0019,44,innovation,0.457265887928671,True,False,1,0.25,0.25,0.25,per_family,1
P0_0020,17,innovation,0.213142114856773,True,False,1,0.25,0.25,0.25,per_family,1
P0_0021,19,innovation,0.256330349065763,True,False,1,0.25,0.25,0.25,per_family,1
P0_0022,13,innovation,0.061336270753586,True,False,1,0.25,0.25,0.25,per_family,1
P0_0023,26,innovation,0.498196585821094,True,False,1,0.25,0.25,0.25,per_family,1
P0_0024,28,innovation,0.18432844893014,True,False,1,0.25,0.25,0.25,per_family,1
P0_0025,36,innovation,0.306897260801287,True,False,1,0.25,0.25,0.25,per_family,1
P0_0026,14,innovation,0.145666440901513,True,False,1,0.25,0.25,0.25,per_family,1
P0_0027,35,innovation,0.424380677002745,True,False,1,0.25,0.25,0.25,per_family,1
P0_0028,40,innovation,0.21380345280177,True,False,1,0.25,0.25,0.25,per_family,1
P0_0029,43,innovation,0.355456552457135,True,False,1,0.25,0.25,0.25,per_family,1
P0_0030,46,innovation,0.325466179398813,True,False,1,0.25,0.25,0.25,per_family,1
P0_0031,11,innovation,0.495281699862318,True,False,1,0.25,0.25,0.25,per_family,1
P0_0032,25,innovation,0.112257191545711,True,False,1,0.25,0.25,0.25,per_family,1
P0_0033,49,innovation,0.129661453038239,True,False,1,0.25,0.25,0.25,per_family,1
P0_0034,22,innovation,0.475869765723666,True,False,1,0.25,0.25,0.25,per_family,1
P0_0035,23,innovation,0.460759509822606,True,False,1,0.25,0.25,0.25,per_family,1
P0_0036,23,innovation,0.39690078217215,True,False,1,0.25,0.25,0.25,per_family,1
P0_0037,43,innovation,0.050267903765818,True,False,1,0.25,0.25,0.25,per_family,1
P0_0038,31,innovation,0.256707665155668,True,False,1,0.25,0.25,0.25,per_family,1
P0_0039,29,innovation,0.038128666092498,True,False,1,0.25,0.25,0.25,per_family,1
P0_0040,30,innovation,0.354784400505311,True,False,1,0.25,0.25,0.25,per_family,1
P0_0041,14,innovation,0.488287942041514,True,False,1,0.25,0.25,0.25,per_family,1
P0_0042,23,innovation,0.201622030497426,True,False,1,0.25,0.25,0.25,per_family,1
P0_0043,12,innovation,0.20936397403537,True,False,1,0.25,0.25,0.25,per_family,1
P0_0044,29,innovation,0.181345242610552,True,False,1,0.25,0.25,0.25,per_family,1
P0_0045,26,innovation,0.125015199391367,True,False,1,0.25,0.25,0.25,per_family,1
P0_0046,14,innovation,0.153644159660738,True,False,1,0.25,0.25,0.25,per_family,1
P0_0047,24,innovation,0.256836419679871,True,False,1,0.25,0.25,0.25,per_family,1
P0_0048,19,innovation,0.22132646647382,True,False,1,0.25,0.25,0.25,per_family,1
P0_0049,34,innovation,0.49201875485148,True,False,1,0.25,0.25,0.25,per_family,1
P0_0050,10,innovation,0.368566384055614,True,False,1,0.25,0.25,0.25,per_family,1
P0_0051,21,innovation,0.198888591948693,True,False,1,0.25,0.25,0.25,per_family,1
P0_0052,24,innovation,0.446803762602286,True,False,1,0.25,0.25,0.25,per_family,1
P0_0053,28,innovation,0.283314270085435,True,False,1,0.25,0.25,0.25,per_family,1
P0_0054,10,innovation,0.410068338061675,True,False,1,0.25,0.25,0.25,per_family,1
P0_0055,11,innovation,0.14998225621731,True,False,1,0.25,0.25,0.25,per_family,1
P0_0056,17,innovation,0.264781067836419,True,False,1,0.25,0.25,0.25,per_family,1
P0_0057,20,innovation,0.218875761017598,True,False,1,0.25,0.25,0.25,per_family,1
P0_0058,33,innovation,0.482373694374034,True,False,1,0.25,0.25,0.25,per_family,1
P0_0059,36,innovation,0.375756570954728,True,False,1,0.25,0.25,0.25,per_family,1
P0_0060,27,innovation,0.362441474523969,True,False,1,0.25,0.25,0.25,per_family,1
P0_0061,24,innovation,0.415782756522959,True,False,1,0.25,0.25,0.25,per_family,1
P0_0062,11,innovation,0.109465696571722,True,False,1,0.25,0.25,0.25,per_family,1
P0_0063,27,innovation,0.222524986842348,True,False,1,0.25,0.25,0.25,per_family,1
P0_0064,19,innovation,0.392922029742336,True,False,1,0.25,0.25,0.25,per_family,1
P0_0065,11,innovation,0.272055862494177,True,False,1,0.25,0.25,0.25,per_family,1
P0_0066,16,innovation,0.134592593552655,True,False,1,0.25,0.25,0.25,per_family,1
P0_0067,44,innovation,0.17381464348385,True,False,1,0.25,0.25,0.25,per_family,1
P0_0068,24,innovation,0.298682301841458,True,False,1,0.25,0.25,0.25,per_family,1
P0_0069,33,innovation,0.166163414896192,True,False,1,0.25,0.25,0.25,per_family,1
P0_0070,11,innovation,0.16615383616725,True,False,1,0.25,0.25,0.25,per_family,1
P0_0071,26,innovation,0.36393643506773,True,False,1,0.25,0.25,0.25,per_family,1
P0_0072,40,innovation,0.390341925051538,True,False,1,0.25,0.25,0.25,per_family,1
P0_0073,49,innovation,0.480783579416281,True,False,1,0.25,0.25,0.25,per_family,1
P0_0074,13,innovation,0.139536225581304,True,False,1,0.25,0.25,0.25,per_family,1
P0_0075,29,innovation,0.491033433256488,True,False,1,0.25,0.25,0.25,per_family,1
P0_0076,22,innovation,0.471320907955319,True,False,1,0.25,0.25,0.25,per_family,1
P0_0077,17,innovation,0.017499685403143,True,False,1,0.25,0.25,0.25,per_family,1
P0_0078,10,innovation,0.403242900763131,True,False,1,0.25,0.25,0.25,per_family,1
P0_0079,48,innovation,0.403113252271566,True,False,1,0.25,0.25,0.25,per_family,1
P0_0080,35,innovation,0.044823410311605,True,False,1,0.25,0.25,0.25,per_family,1
P0_0081,23,innovation,0.139195530779909,True,False,1,0.25,0.25,0.25,per_family,1
P0_0082,27,innovation,0.387205261178582,True,False,1,0.25,0.25,0.25,per_family,1
P0_0083,30,innovation,0.354626041121254,True,False,1,0.25,0.25,0.25,per_family,1
P0_0084,18,innovation,0.297625045246541,True,False,1,0.25,0.25,0.25,per_family,1
P0_0085,14,innovation,0.282961787795088,True,False,1,0.25,0.25,0.25,per_family,1
P0_0086,40,innovation,0.160985319330334,True,False,1,0.25,0.25,0.25,per_family,1
