"","X","ID","num_of_leaves","model","non_binary_prob","planted","remove_extinct","rescale_to_height","dupl_rate","loss_rate","hgt_rate","prohibit_extinction","replace_prob","LDT_Edges","Fitch_true_Edges","Fraction_of_Xenologs","Number_of_Species","Number_of_leaves_tgt","Number_of_leaves_ogt","T_ldt_false_positive","T_ldt_true_positive","T_ldt_false_negative","T_triple","T_ldt_triple","S_ldt_false_positive","S_ldt_true_positive","S_ldt_false_negative","S_triple","S_ldt_triple","Number_of_Nodes_ldt_100","Edges_rs_false_positive_100","Edges_rs_false_negative_100","Edges_rs_true_positive_100","Fitch_rs_Edges_100","Edges_cd_false_positive_100","Edges_cd_false_negative_100","Edges_cd_true_positive_100","Number_of_Nodes_ldt_80","Edges_rs_false_positive_80","Edges_rs_false_negative_80","Edges_rs_true_positive_80","Fitch_rs_Edges_80","Edges_cd_false_positive_80","Edges_cd_false_negative_80","Edges_cd_true_positive_80","Number_of_Nodes_ldt_60","Edges_rs_false_positive_60","Edges_rs_false_negative_60","Edges_rs_true_positive_60","Fitch_rs_Edges_60","Edges_cd_false_positive_60","Edges_cd_false_negative_60","Edges_cd_true_positive_60","Number_of_Nodes_ldt_40","Edges_rs_false_positive_40","Edges_rs_false_negative_40","Edges_rs_true_positive_40","Fitch_rs_Edges_40","Edges_cd_false_positive_40","Edges_cd_false_negative_40","Edges_cd_true_positive_40","Number_of_Nodes_ldt_20","Edges_rs_false_positive_20","Edges_rs_false_negative_20","Edges_rs_true_positive_20","Fitch_rs_Edges_20","Edges_cd_false_positive_20","Edges_cd_false_negative_20","Edges_cd_true_positive_20","Group","tn_cd_100","tn_cd_80","tn_cd_60","tn_cd_40","tn_cd_20","tn_rs_100","tn_rs_80","tn_rs_60","tn_rs_40","tn_rs_20","recall_cd_100","recall_cd_80","recall_cd_60","recall_cd_40","recall_cd_20","recall_rs_100","recall_rs_80","recall_rs_60","recall_rs_40","recall_rs_20","precision_cd_100","precision_cd_80","precision_cd_60","precision_cd_40","precision_cd_20","precision_rs_100","precision_rs_80","precision_rs_60","precision_rs_40","precision_rs_20","accuracy_cd_100","accuracy_cd_80","accuracy_cd_60","accuracy_cd_40","accuracy_cd_20","accuracy_rs_100","accuracy_rs_80","accuracy_rs_60","accuracy_rs_40","accuracy_rs_20"
"1",0,"P0_0000",20,"innovation",0.137670817004327,"True","False",1,0.25,0.25,0.25,"per_family",1,6,37,0.162162162162162,20,22,20,998,94,0,1092,94,1085,7,0,1092,7,20,0,0,12,12,0,0,12,20,0,0,0,0,0,0,0,20,10,5,10,20,6,7,8,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,"P0",178,190,169,190,190,178,190,165,190,190,1,NA,0.533333333333333,NA,NA,1,NA,0.666666666666667,NA,NA,1,NA,0.571428571428571,NA,NA,1,NA,0.5,NA,NA,1,1,0.931578947368421,1,1,1,1,0.921052631578947,1,1
"2",1,"P0_0001",29,"innovation",0.2755461442091,"True","False",1,0.25,0.25,0.25,"per_family",1,0,22,0,29,16,13,206,0,0,206,0,2754,0,0,2754,0,13,0,0,0,0,0,0,0,13,0,6,0,0,0,6,0,13,0,6,0,0,0,6,0,13,0,3,0,0,0,3,0,13,0,1,0,0,0,1,0,"P0",78,72,72,75,77,78,72,72,75,77,NA,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.923076923076923,0.923076923076923,0.961538461538462,0.987179487179487,1,0.923076923076923,0.923076923076923,0.961538461538462,0.987179487179487
"3",2,"P0_0002",17,"innovation",0.156811070852971,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,17,17,17,680,0,0,680,0,680,0,0,680,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,"P0",136,136,136,136,136,136,136,136,136,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"4",3,"P0_0003",37,"innovation",0.398423346500021,"True","False",1,0.25,0.25,0.25,"per_family",1,37,298,0.124161073825503,37,83,77,68315,1875,0,70190,1875,5696,407,0,6103,407,77,0,48,49,49,0,48,49,77,78,79,47,125,0,42,84,77,0,33,0,0,0,33,0,77,0,24,0,0,0,24,0,77,0,0,0,0,0,0,0,"P0",2829,2800,2893,2902,2926,2829,2722,2893,2902,2926,0.505154639175258,0.666666666666667,0,0,NA,0.505154639175258,0.373015873015873,0,0,NA,1,1,NA,NA,NA,1,0.376,NA,NA,NA,0.983595352016405,0.985645933014354,0.988721804511278,0.991797676008202,1,0.983595352016405,0.946343130553657,0.988721804511278,0.991797676008202,1
"5",4,"P0_0004",44,"innovation",0.141168627474684,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,44,3,2,0,0,0,0,0,13006,0,0,13006,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"P0",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"6",5,"P0_0005",36,"innovation",0.045862237391649,"True","False",1,0.25,0.25,0.25,"per_family",1,125,342,0.365497076023392,36,77,72,54682,4956,0,59638,4956,5363,1776,0,7139,1776,72,0,0,132,132,42,45,87,72,0,0,143,143,0,3,140,72,0,0,89,89,0,2,87,72,20,20,45,65,20,22,43,72,0,0,24,24,0,0,24,"P0",2382,2413,2467,2471,2532,2424,2413,2467,2471,2532,0.659090909090909,0.979020979020979,0.97752808988764,0.661538461538462,1,1,1,1,0.692307692307692,1,0.674418604651163,1,1,0.682539682539683,1,1,1,1,0.692307692307692,1,0.965962441314554,0.998826291079812,0.999217527386541,0.983568075117371,1,1,1,1,0.984350547730829,1
"7",6,"P0_0006",27,"innovation",0.289828631827188,"True","False",1,0.25,0.25,0.25,"per_family",1,1,25,0.04,27,28,26,2446,24,0,2470,24,2772,0,0,2772,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,"P0",325,325,325,325,325,325,325,325,325,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"8",7,"P0_0007",31,"innovation",0.468505843786753,"True","False",1,0.25,0.25,0.25,"per_family",1,1,31,0.032258064516129,31,33,32,3137,30,0,3167,30,2911,0,0,2911,0,32,0,0,0,0,0,0,0,32,0,0,14,14,0,0,14,32,0,0,0,0,0,0,0,32,0,10,0,0,0,10,0,32,0,5,0,0,0,5,0,"P0",496,482,496,486,491,496,482,496,486,491,NA,1,NA,0,0,NA,1,NA,0,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,0.979838709677419,0.98991935483871,1,1,1,0.979838709677419,0.98991935483871
"9",8,"P0_0008",16,"innovation",0.072754235733763,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,16,16,14,364,0,0,364,0,560,0,0,560,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,"P0",91,91,91,91,91,91,91,91,91,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"10",9,"P0_0009",11,"innovation",0.295941707683553,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,11,13,13,256,0,0,256,0,146,0,0,146,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,"P0",78,78,78,78,78,78,78,78,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"11",10,"P0_0010",24,"innovation",0.198441473202922,"True","False",1,0.25,0.25,0.25,"per_family",1,66,167,0.395209580838323,24,26,24,1266,750,0,2016,750,1651,351,0,2002,351,24,23,23,64,87,18,39,48,24,15,10,56,71,15,25,41,24,12,6,35,47,12,18,23,24,0,16,8,8,0,16,8,24,0,2,3,3,0,2,3,"P0",171,195,223,252,271,166,195,223,252,271,0.551724137931034,0.621212121212121,0.560975609756098,0.333333333333333,0.6,0.735632183908046,0.848484848484849,0.853658536585366,0.333333333333333,0.6,0.727272727272727,0.732142857142857,0.657142857142857,1,1,0.735632183908046,0.788732394366197,0.74468085106383,1,1,0.793478260869565,0.855072463768116,0.891304347826087,0.942028985507246,0.992753623188406,0.833333333333333,0.909420289855073,0.934782608695652,0.942028985507246,0.992753623188406
"12",11,"P0_0011",48,"innovation",0.415357916983673,"True","False",1,0.25,0.25,0.25,"per_family",1,0,0,0,48,76,72,57961,0,0,57961,0,16445,0,0,16445,0,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,"P0",2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1
"13",12,"P0_0012",39,"innovation",0.208987069456602,"True","False",1,0.25,0.25,0.25,"per_family",1,136,459,0.296296296296296,39,45,44,10527,2584,0,13111,2584,8057,960,0,9017,960,44,0,0,210,210,50,140,70,44,35,70,50,85,35,70,50,44,27,63,21,48,27,63,21,44,15,35,21,36,15,35,21,44,0,12,0,0,0,12,0,"P0",686,791,835,875,934,736,791,835,875,934,0.333333333333333,0.416666666666667,0.25,0.375,0,1,0.416666666666667,0.25,0.375,0,0.583333333333333,0.588235294117647,0.4375,0.583333333333333,NA,1,0.588235294117647,0.4375,0.583333333333333,NA,0.799154334038055,0.889006342494715,0.904862579281184,0.947145877378435,0.987315010570824,1,0.889006342494715,0.904862579281184,0.947145877378435,0.987315010570824
"14",13,"P0_0013",22,"innovation",0.489112494527507,"True","False",1,0.25,0.25,0.25,"per_family",1,140,344,0.406976744186047,22,41,32,2794,1680,0,4474,1680,870,133,0,1003,133,32,27,26,108,135,0,27,107,32,17,15,72,89,15,26,61,32,4,17,47,51,4,21,43,32,11,12,25,36,9,18,19,32,0,9,0,0,0,9,0,"P0",362,394,428,450,487,335,392,428,448,487,0.798507462686567,0.701149425287356,0.671875,0.513513513513513,0,0.805970149253731,0.827586206896552,0.734375,0.675675675675676,0,1,0.802631578947368,0.914893617021277,0.678571428571429,NA,0.8,0.808988764044944,0.92156862745098,0.694444444444444,NA,0.945564516129032,0.917338709677419,0.949596774193548,0.945564516129032,0.981854838709677,0.893145161290323,0.935483870967742,0.957661290322581,0.953629032258065,0.981854838709677
"15",14,"P0_0014",32,"innovation",0.421154134145845,"True","False",1,0.25,0.25,0.25,"per_family",1,1,31,0.032258064516129,32,35,32,4500,30,0,4530,30,4656,0,0,4656,0,32,0,0,21,21,20,20,1,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,32,0,5,0,0,0,5,0,"P0",455,496,496,496,491,475,496,496,496,491,0.0476190476190476,NA,NA,NA,0,1,NA,NA,NA,0,0.0476190476190476,NA,NA,NA,NA,1,NA,NA,NA,NA,0.919354838709677,1,1,1,0.98991935483871,1,1,1,1,0.98991935483871
